Task ID,LLM,Success,Solution length,Spec ratio,Specification length,Language,Benchmark,Run ID
DS0000,claude-opus-4.1,1,709,1.5480349344978166,458,dafny,numpy-simple,2p1gvb8z
DS0003,claude-opus-4.1,1,727,1.718676122931442,423,dafny,numpy-simple,2p1gvb8z
DS0001,claude-opus-4.1,1,574,1.383132530120482,415,dafny,numpy-simple,2p1gvb8z
DS0006,claude-opus-4.1,1,620,1.6145833333333333,384,dafny,numpy-simple,2p1gvb8z
DS0005,claude-opus-4.1,1,560,1.5819209039548023,354,dafny,numpy-simple,2p1gvb8z
DS0008,claude-opus-4.1,1,2731,2.1571879936808847,1266,dafny,numpy-simple,2p1gvb8z
DS0009,claude-opus-4.1,1,2125,2.4566473988439306,865,dafny,numpy-simple,2p1gvb8z
DS0010,claude-opus-4.1,1,858,1.8531317494600432,463,dafny,numpy-simple,2p1gvb8z
DS0002,claude-opus-4.1,0,2242,2.7610837438423643,812,dafny,numpy-simple,2p1gvb8z
DS0011,claude-opus-4.1,0,0,-1,0,dafny,numpy-simple,2p1gvb8z
DS0013,claude-opus-4.1,1,300,0.8746355685131195,343,dafny,numpy-simple,2p1gvb8z
DS0004,claude-opus-4.1,0,2502,6.302267002518891,397,dafny,numpy-simple,2p1gvb8z
DS0015,claude-opus-4.1,0,0,-1,0,dafny,numpy-simple,2p1gvb8z
DS0016,claude-opus-4.1,1,658,1.6700507614213198,394,dafny,numpy-simple,2p1gvb8z
DS0018,claude-opus-4.1,1,580,1.5183246073298429,382,dafny,numpy-simple,2p1gvb8z
DS0019,claude-opus-4.1,1,2546,2.5587939698492463,995,dafny,numpy-simple,2p1gvb8z
DS0020,claude-opus-4.1,1,736,1.463220675944334,503,dafny,numpy-simple,2p1gvb8z
DS0007,claude-opus-4.1,0,615,1.4712918660287082,418,dafny,numpy-simple,2p1gvb8z
DS0017,claude-opus-4.1,0,1515,1.7353951890034365,873,dafny,numpy-simple,2p1gvb8z
DS0022,claude-opus-4.1,1,579,1.3884892086330936,417,dafny,numpy-simple,2p1gvb8z
DS0014,claude-opus-4.1,0,1580,2.320117474302496,681,dafny,numpy-simple,2p1gvb8z
DS0023,claude-opus-4.1,1,587,1.387706855791962,423,dafny,numpy-simple,2p1gvb8z
DS0024,claude-opus-4.1,1,984,1.5922330097087378,618,dafny,numpy-simple,2p1gvb8z
DS0026,claude-opus-4.1,1,699,1.4809322033898304,472,dafny,numpy-simple,2p1gvb8z
DS0028,claude-opus-4.1,1,739,1.517453798767967,487,dafny,numpy-simple,2p1gvb8z
DS0027,claude-opus-4.1,0,1075,1.9724770642201834,545,dafny,numpy-simple,2p1gvb8z
DS0030,claude-opus-4.1,1,769,1.507843137254902,510,dafny,numpy-simple,2p1gvb8z
DS0025,claude-opus-4.1,0,2915,5.15017667844523,566,dafny,numpy-simple,2p1gvb8z
DS0031,claude-opus-4.1,1,568,1.5268817204301075,372,dafny,numpy-simple,2p1gvb8z
DS0032,claude-opus-4.1,1,576,1.5238095238095237,378,dafny,numpy-simple,2p1gvb8z
DS0033,claude-opus-4.1,1,596,1.5520833333333333,384,dafny,numpy-simple,2p1gvb8z
DS0034,claude-opus-4.1,1,596,1.7028571428571428,350,dafny,numpy-simple,2p1gvb8z
DS0035,claude-opus-4.1,1,681,1.3954918032786885,488,dafny,numpy-simple,2p1gvb8z
DS0036,claude-opus-4.1,1,566,1.517426273458445,373,dafny,numpy-simple,2p1gvb8z
DS0037,claude-opus-4.1,1,575,1.5251989389920424,377,dafny,numpy-simple,2p1gvb8z
DS0021,claude-opus-4.1,0,1754,4.196172248803828,418,dafny,numpy-simple,2p1gvb8z
DS0039,claude-opus-4.1,0,1322,1.5908543922984357,831,dafny,numpy-simple,2p1gvb8z
DS0038,claude-opus-4.1,0,1068,1.8319039451114922,583,dafny,numpy-simple,2p1gvb8z
DS0040,claude-opus-4.1,1,632,1.7035040431266846,371,dafny,numpy-simple,2p1gvb8z
DS0041,claude-opus-4.1,1,733,1.3935361216730038,526,dafny,numpy-simple,2p1gvb8z
DS0044,claude-opus-4.1,1,702,1.3956262425447317,503,dafny,numpy-simple,2p1gvb8z
DS0029,claude-opus-4.1,0,1579,4.498575498575499,351,dafny,numpy-simple,2p1gvb8z
DS0046,claude-opus-4.1,1,978,1.3716690042075736,713,dafny,numpy-simple,2p1gvb8z
DS0042,claude-opus-4.1,0,2740,2.4035087719298245,1140,dafny,numpy-simple,2p1gvb8z
DS0048,claude-opus-4.1,1,1376,1.09466984884646,1257,dafny,numpy-simple,2p1gvb8z
DS0049,claude-opus-4.1,1,849,1.7291242362525459,491,dafny,numpy-simple,2p1gvb8z
DS0047,claude-opus-4.1,0,1692,1.9293044469783351,877,dafny,numpy-simple,2p1gvb8z
DS0051,claude-opus-4.1,1,546,1.4638069705093835,373,dafny,numpy-simple,2p1gvb8z
DS0052,claude-opus-4.1,1,566,1.3906633906633907,407,dafny,numpy-simple,2p1gvb8z
DS0045,claude-opus-4.1,0,859,2.079903147699758,413,dafny,numpy-simple,2p1gvb8z
DS0043,claude-opus-4.1,0,1779,2.477715877437326,718,dafny,numpy-simple,2p1gvb8z
DS0050,claude-opus-4.1,0,1606,3.112403100775194,516,dafny,numpy-simple,2p1gvb8z
DS0053,claude-opus-4.1,0,1259,1.645751633986928,765,dafny,numpy-simple,2p1gvb8z
DS0054,claude-opus-4.1,0,1911,1.9361702127659575,987,dafny,numpy-simple,2p1gvb8z
DS0055,claude-opus-4.1,1,2020,2.384887839433294,847,dafny,numpy-simple,2p1gvb8z
DS0057,claude-opus-4.1,0,1245,1.8175182481751824,685,dafny,numpy-simple,2p1gvb8z
DS0058,claude-opus-4.1,0,1705,2.8559463986599667,597,dafny,numpy-simple,2p1gvb8z
DS0056,claude-opus-4.1,0,1763,3.970720720720721,444,dafny,numpy-simple,2p1gvb8z
DT0002,claude-opus-4.1,1,788,0.9887076537013801,797,dafny,numpy-triple,x236kb5h
DT0003,claude-opus-4.1,1,931,0.9904255319148936,940,dafny,numpy-triple,x236kb5h
DT0001,claude-opus-4.1,1,915,0.993485342019544,921,dafny,numpy-triple,x236kb5h
DT0005,claude-opus-4.1,1,491,0.9879275653923542,497,dafny,numpy-triple,x236kb5h
DT0006,claude-opus-4.1,1,1263,1.028501628664495,1228,dafny,numpy-triple,x236kb5h
DT0007,claude-opus-4.1,1,657,0.9864864864864865,666,dafny,numpy-triple,x236kb5h
DT0008,claude-opus-4.1,1,2780,1.3144208037825058,2115,dafny,numpy-triple,x236kb5h
DT0010,claude-opus-4.1,1,792,1.0012642225031605,791,dafny,numpy-triple,x236kb5h
DT0011,claude-opus-4.1,1,917,1.0456100342075256,877,dafny,numpy-triple,x236kb5h
DT0013,claude-opus-4.1,1,1655,0.997588908981314,1659,dafny,numpy-triple,x236kb5h
DT0004,claude-opus-4.1,0,998,1.2397515527950311,805,dafny,numpy-triple,x236kb5h
DT0014,claude-opus-4.1,1,765,1.0268456375838926,745,dafny,numpy-triple,x236kb5h
DT0015,claude-opus-4.1,1,1351,1.2030276046304542,1123,dafny,numpy-triple,x236kb5h
DT0016,claude-opus-4.1,1,785,1.3149078726968175,597,dafny,numpy-triple,x236kb5h
DT0017,claude-opus-4.1,1,700,1.0101010101010102,693,dafny,numpy-triple,x236kb5h
DT0000,claude-opus-4.1,0,2494,2.5737874097007225,969,dafny,numpy-triple,x236kb5h
DT0019,claude-opus-4.1,1,900,1.0135135135135136,888,dafny,numpy-triple,x236kb5h
DT0020,claude-opus-4.1,1,814,1.3344262295081968,610,dafny,numpy-triple,x236kb5h
DT0022,claude-opus-4.1,1,1237,1.9603803486529319,631,dafny,numpy-triple,x236kb5h
DT0025,claude-opus-4.1,1,1974,1.4039829302987197,1406,dafny,numpy-triple,x236kb5h
DT0026,claude-opus-4.1,1,1686,1.799359658484525,937,dafny,numpy-triple,x236kb5h
DT0027,claude-opus-4.1,1,1008,1.5460122699386503,652,dafny,numpy-triple,x236kb5h
DT0018,claude-opus-4.1,0,2530,1.4515203671830177,1743,dafny,numpy-triple,x236kb5h
DT0028,claude-opus-4.1,1,1002,1.5462962962962963,648,dafny,numpy-triple,x236kb5h
DT0030,claude-opus-4.1,1,680,1.3877551020408163,490,dafny,numpy-triple,x236kb5h
DT0023,claude-opus-4.1,1,5288,2.3367211665930183,2263,dafny,numpy-triple,x236kb5h
DT0029,claude-opus-4.1,1,1116,1.0054054054054054,1110,dafny,numpy-triple,x236kb5h
DT0031,claude-opus-4.1,1,1270,1.9968553459119496,636,dafny,numpy-triple,x236kb5h
DT0032,claude-opus-4.1,1,2127,1.2030542986425339,1768,dafny,numpy-triple,x236kb5h
DT0035,claude-opus-4.1,1,576,1.4922279792746114,386,dafny,numpy-triple,x236kb5h
DT0039,claude-opus-4.1,1,313,0.978125,320,dafny,numpy-triple,x236kb5h
DT0037,claude-opus-4.1,1,1099,1.0018231540565177,1097,dafny,numpy-triple,x236kb5h
DT0040,claude-opus-4.1,1,732,0.9932157394843962,737,dafny,numpy-triple,x236kb5h
DT0041,claude-opus-4.1,1,1418,1.3888344760039177,1021,dafny,numpy-triple,x236kb5h
DT0034,claude-opus-4.1,1,1921,2.141583054626533,897,dafny,numpy-triple,x236kb5h
DT0044,claude-opus-4.1,1,1648,1.1508379888268156,1432,dafny,numpy-triple,x236kb5h
DT0047,claude-opus-4.1,1,633,0.9921630094043887,638,dafny,numpy-triple,x236kb5h
DT0033,claude-opus-4.1,0,1873,1.7310536044362292,1082,dafny,numpy-triple,x236kb5h
DT0048,claude-opus-4.1,1,757,1.0939306358381502,692,dafny,numpy-triple,x236kb5h
DT0045,claude-opus-4.1,0,1433,1.1454836131095123,1251,dafny,numpy-triple,x236kb5h
DT0051,claude-opus-4.1,0,0,-1,0,dafny,numpy-triple,x236kb5h
DT0052,claude-opus-4.1,1,1256,1.056349873843566,1189,dafny,numpy-triple,x236kb5h
DT0053,claude-opus-4.1,1,791,1.3661485319516407,579,dafny,numpy-triple,x236kb5h
DT0049,claude-opus-4.1,0,1528,1.6590662323561347,921,dafny,numpy-triple,x236kb5h
DT0042,claude-opus-4.1,0,5125,1.8974453905960755,2701,dafny,numpy-triple,x236kb5h
DT0055,claude-opus-4.1,1,526,1.6913183279742765,311,dafny,numpy-triple,x236kb5h
DT0058,claude-opus-4.1,1,1259,1.0186084142394822,1236,dafny,numpy-triple,x236kb5h
DT0057,claude-opus-4.1,1,710,0.993006993006993,715,dafny,numpy-triple,x236kb5h
DT0060,claude-opus-4.1,1,990,0.990990990990991,999,dafny,numpy-triple,x236kb5h
DT0061,claude-opus-4.1,1,451,0.9804347826086957,460,dafny,numpy-triple,x236kb5h
DT0062,claude-opus-4.1,1,392,0.9775561097256857,401,dafny,numpy-triple,x236kb5h
DT0054,claude-opus-4.1,1,4303,2.8859825620389,1491,dafny,numpy-triple,x236kb5h
DT0064,claude-opus-4.1,1,584,0.984822934232715,593,dafny,numpy-triple,x236kb5h
DT0066,claude-opus-4.1,1,647,1.1806569343065694,548,dafny,numpy-triple,x236kb5h
DT0067,claude-opus-4.1,1,1004,0.9911154985192497,1013,dafny,numpy-triple,x236kb5h
DT0069,claude-opus-4.1,1,753,0.9947159841479525,757,dafny,numpy-triple,x236kb5h
DT0070,claude-opus-4.1,1,398,0.9827160493827161,405,dafny,numpy-triple,x236kb5h
DT0071,claude-opus-4.1,1,466,0.985200845665962,473,dafny,numpy-triple,x236kb5h
DT0073,claude-opus-4.1,1,764,0.9922077922077922,770,dafny,numpy-triple,x236kb5h
DT0074,claude-opus-4.1,1,1216,0.9967213114754099,1220,dafny,numpy-triple,x236kb5h
DT0065,claude-opus-4.1,0,1808,2.1220657276995305,852,dafny,numpy-triple,x236kb5h
DT0075,claude-opus-4.1,0,0,-1,0,dafny,numpy-triple,x236kb5h
DT0076,claude-opus-4.1,1,1001,1.5447530864197532,648,dafny,numpy-triple,x236kb5h
DT0081,claude-opus-4.1,1,702,0.9943342776203966,706,dafny,numpy-triple,x236kb5h
DT0077,claude-opus-4.1,1,2659,2.6119842829076623,1018,dafny,numpy-triple,x236kb5h
DT0083,claude-opus-4.1,1,1644,1.4587400177462289,1127,dafny,numpy-triple,x236kb5h
DT0079,claude-opus-4.1,1,2257,2.772727272727273,814,dafny,numpy-triple,x236kb5h
DT0068,claude-opus-4.1,0,5767,2.425147182506308,2378,dafny,numpy-triple,x236kb5h
DT0088,claude-opus-4.1,1,2325,1.6466005665722379,1412,dafny,numpy-triple,x236kb5h
DT0085,claude-opus-4.1,1,3714,1.6375661375661377,2268,dafny,numpy-triple,x236kb5h
DT0093,claude-opus-4.1,1,4065,1.0014781966001478,4059,dafny,numpy-triple,x236kb5h
DT0094,claude-opus-4.1,1,884,1.0091324200913243,876,dafny,numpy-triple,x236kb5h
DT0087,claude-opus-4.1,0,1970,2.0330237358101133,969,dafny,numpy-triple,x236kb5h
DT0095,claude-opus-4.1,1,984,1.0081967213114753,976,dafny,numpy-triple,x236kb5h
DT0084,claude-opus-4.1,0,6124,2.94990366088632,2076,dafny,numpy-triple,x236kb5h
DT0097,claude-opus-4.1,1,1070,1.0268714011516316,1042,dafny,numpy-triple,x236kb5h
DT0096,claude-opus-4.1,1,989,1.0291363163371487,961,dafny,numpy-triple,x236kb5h
DT0098,claude-opus-4.1,1,688,1.011764705882353,680,dafny,numpy-triple,x236kb5h
DT0101,claude-opus-4.1,1,708,1.0411764705882354,680,dafny,numpy-triple,x236kb5h
DT0100,claude-opus-4.1,1,890,1.0090702947845804,882,dafny,numpy-triple,x236kb5h
DT0104,claude-opus-4.1,1,917,0.9924242424242424,924,dafny,numpy-triple,x236kb5h
DT0108,claude-opus-4.1,1,984,1.0081967213114753,976,dafny,numpy-triple,x236kb5h
DT0099,claude-opus-4.1,0,1805,1.0674157303370786,1691,dafny,numpy-triple,x236kb5h
DT0110,claude-opus-4.1,1,1743,1.3955164131305045,1249,dafny,numpy-triple,x236kb5h
DT0111,claude-opus-4.1,1,4602,0.9991315675206253,4606,dafny,numpy-triple,x236kb5h
